frameIndex,detectorType,descriptorType,TTC_Lidar,TTC_Camera,TTC_Diff
6,SIFT,BRISK,12.7835,11.2162,1.56731
7,SIFT,BRISK,11.9844,13.5155,-1.53113
8,SIFT,BRISK,13.1241,14.0211,-0.89702
9,SIFT,BRISK,13.0241,12.0724,0.951728
10,SIFT,BRISK,11.1746,9.99374,1.1809
11,SIFT,BRISK,12.8086,13.5871,-0.778547
12,SIFT,BRISK,8.95978,9.07575,-0.115965
13,SIFT,BRISK,9.96439,9.73263,0.231764
14,SIFT,BRISK,9.59863,9.68491,-0.086278
15,SIFT,BRISK,8.52157,8.70123,-0.179664
16,SIFT,BRISK,9.51552,8.1818,1.33372
17,SIFT,BRISK,9.61241,11.3986,-1.7862
18,SIFT,BRISK,8.3988,9.49377,-1.09497

frameIndex,detectorType,descriptorType,TTC_Lidar,TTC_Camera,TTC_Diff
1,HARRIS,BRIEF,12.5156,nan,nan
2,HARRIS,BRIEF,12.6142,nan,nan
3,HARRIS,BRIEF,14.091,-11.4731,25.5642
4,HARRIS,BRIEF,16.6894,12.4979,4.19148
5,HARRIS,BRIEF,15.7465,13.6432,2.10334
6,HARRIS,BRIEF,12.7835,12.9945,-0.210998
7,HARRIS,BRIEF,11.9844,13.6036,-1.61927
8,HARRIS,BRIEF,13.1241,12.6385,0.485584
9,HARRIS,BRIEF,13.0241,nan,nan
10,HARRIS,BRIEF,11.1746,10.2931,0.881533
11,HARRIS,BRIEF,12.8086,11.8135,0.995099
12,HARRIS,BRIEF,8.95978,12.245,-3.28521
13,HARRIS,BRIEF,9.96439,284.161,-274.197
14,HARRIS,BRIEF,9.59863,nan,nan
15,HARRIS,BRIEF,8.52157,-inf,inf
16,HARRIS,BRIEF,9.51552,6.45749,3.05804
17,HARRIS,BRIEF,9.61241,12.7384,-3.12602
18,HARRIS,BRIEF,8.3988,-inf,inf

1,SHITOMASI,BRIEF,12.5156,12.6853,-0.169702
2,SHITOMASI,BRIEF,12.6142,11.1896,1.42466
3,SHITOMASI,BRIEF,14.091,12.1,1.99101
4,SHITOMASI,BRIEF,16.6894,11.7164,4.97299
5,SHITOMASI,BRIEF,15.7465,12.5462,3.20034
6,SHITOMASI,BRIEF,12.7835,15.4568,-2.67327
7,SHITOMASI,BRIEF,11.9844,11.5978,0.386573
8,SHITOMASI,BRIEF,11.9844,11.5978,0.386573
9,SHITOMASI,BRIEF,13.0241,11.5126,1.5115
10,SHITOMASI,BRIEF,11.1746,12.7362,-1.56155
11,SHITOMASI,BRIEF,12.8086,11.2358,1.57278
12,SHITOMASI,BRIEF,8.95978,12.0454,-3.0856
13,SHITOMASI,BRIEF,9.96439,11.6848,-1.72044
14,SHITOMASI,BRIEF,9.59863,11.9426,-2.34399
15,SHITOMASI,BRIEF,8.52157,10.009,-1.48739
16,SHITOMASI,BRIEF,9.51552,10.2725,-0.757011
17,SHITOMASI,BRIEF,9.61241,11.5139,-1.90144
18,SHITOMASI,BRIEF,8.3988,10.317,-1.91816

1,FAST,BRIEF,12.5156,11.7818,0.733754
2,FAST,BRIEF,12.6142,10.4498,2.16448
3,FAST,BRIEF,14.091,12.9015,1.18946
4,FAST,BRIEF,14.091,12.9015,1.18946
5,FAST,BRIEF,15.7465,56.5674,-40.8209
6,FAST,BRIEF,15.7465,56.5674,-40.8209
7,FAST,BRIEF,11.9844,11.5161,0.468246
8,FAST,BRIEF,13.1241,12.0967,1.02738
9,FAST,BRIEF,13.0241,13.6469,-0.622744
10,FAST,BRIEF,11.1746,13.4637,-2.2891
11,FAST,BRIEF,12.8086,13.2068,-0.398191
12,FAST,BRIEF,8.95978,11.808,-2.84819
13,FAST,BRIEF,9.96439,11.868,-1.90358
14,FAST,BRIEF,9.59863,11.488,-1.88938
15,FAST,BRIEF,8.52157,11.1204,-2.59888
16,FAST,BRIEF,9.51552,12.2602,-2.74463
17,FAST,BRIEF,9.61241,10.4012,-0.788748
18,FAST,BRIEF,8.3988,12.6746,-4.27583

1,BRISK,BRIEF,12.5156,22.0665,-9.55088
2,BRISK,BRIEF,12.6142,22.9119,-10.2977
3,BRISK,BRIEF,14.091,23.6749,-9.58386
4,BRISK,BRIEF,16.6894,15.1958,1.49359
5,BRISK,BRIEF,15.7465,29.5882,-13.8417
6,BRISK,BRIEF,12.7835,17.0318,-4.24832
7,BRISK,BRIEF,11.9844,17.7722,-5.78789
8,BRISK,BRIEF,11.9844,17.7722,-5.78789
9,BRISK,BRIEF,13.0241,16.0344,-3.01024
10,BRISK,BRIEF,11.1746,10.6605,0.514132
11,BRISK,BRIEF,12.8086,11.4387,1.36986
12,BRISK,BRIEF,8.95978,9.78733,-0.827549
13,BRISK,BRIEF,9.96439,11.4679,-1.50354
14,BRISK,BRIEF,9.59863,12.1882,-2.58954
15,BRISK,BRIEF,8.52157,10.9466,-2.425
16,BRISK,BRIEF,9.51552,10.7676,-1.25208
17,BRISK,BRIEF,9.61241,8.93262,0.679799
18,BRISK,BRIEF,8.3988,10.4166,-2.01776

1,ORB,BRIEF,12.5156,10.2728,2.24285
2,ORB,BRIEF,12.6142,12.843,-0.228722
3,ORB,BRIEF,14.091,11.9489,2.14214
4,ORB,BRIEF,14.091,11.9489,2.14214
5,ORB,BRIEF,15.7465,-inf,inf
6,ORB,BRIEF,15.7465,-inf,inf
7,ORB,BRIEF,11.9844,-inf,inf
8,ORB,BRIEF,13.1241,10.9115,2.21264
9,ORB,BRIEF,13.0241,-inf,inf
10,ORB,BRIEF,11.1746,9.61345,1.56119
11,ORB,BRIEF,12.8086,5.62149,7.18712
12,ORB,BRIEF,8.95978,-inf,inf
13,ORB,BRIEF,9.96439,7.74427,2.22012
14,ORB,BRIEF,9.59863,38.649,-29.0504
15,ORB,BRIEF,8.52157,8.67855,-0.156981
16,ORB,BRIEF,9.51552,7.0528,2.46272
17,ORB,BRIEF,9.61241,8.71789,0.894522
18,ORB,BRIEF,8.3988,25.6678,-17.269

1,AKAZE,BRIEF,12.5156,12.4033,0.11234
2,AKAZE,BRIEF,12.6142,13.9131,-1.29888
3,AKAZE,BRIEF,14.091,13.2424,0.848608
4,AKAZE,BRIEF,16.6894,15.0771,1.61229
5,AKAZE,BRIEF,15.7465,14.9829,0.763632
6,AKAZE,BRIEF,12.7835,15.5222,-2.73867
7,AKAZE,BRIEF,11.9844,15.3448,-3.36044
8,AKAZE,BRIEF,13.1241,14.4557,-1.33155
9,AKAZE,BRIEF,13.0241,16.3573,-3.33321
10,AKAZE,BRIEF,11.1746,11.7726,-0.59795
11,AKAZE,BRIEF,12.8086,12.7506,0.0580422
12,AKAZE,BRIEF,8.95978,10.7717,-1.81197
13,AKAZE,BRIEF,9.96439,11.5239,-1.55947
14,AKAZE,BRIEF,9.59863,11.0076,-1.40899
15,AKAZE,BRIEF,8.52157,10.2243,-1.70273
16,AKAZE,BRIEF,9.51552,11.2034,-1.68787
17,AKAZE,BRIEF,9.61241,9.58876,0.0236554
18,AKAZE,BRIEF,8.3988,8.96071,-0.561909

1,SIFT,BRIEF,12.5156,11.542,0.973558
2,SIFT,BRIEF,12.6142,13.5986,-0.984366
3,SIFT,BRIEF,14.091,12.3504,1.74065
4,SIFT,BRIEF,16.6894,16.1913,0.498087
5,SIFT,BRIEF,15.7465,16.1427,-0.396111
6,SIFT,BRIEF,12.7835,11.2992,1.4843
7,SIFT,BRIEF,11.9844,14.2273,-2.24294
8,SIFT,BRIEF,13.1241,15.3854,-2.26124
9,SIFT,BRIEF,13.0241,12.7337,0.290439
10,SIFT,BRIEF,11.1746,11.3858,-0.211207
11,SIFT,BRIEF,12.8086,12.3477,0.460898
12,SIFT,BRIEF,8.95978,12.0373,-3.07753
13,SIFT,BRIEF,9.96439,9.98467,-0.0202795
14,SIFT,BRIEF,9.59863,10.4011,-0.802423
15,SIFT,BRIEF,8.52157,9.26573,-0.744166
16,SIFT,BRIEF,9.51552,10.5265,-1.01102
17,SIFT,BRIEF,9.61241,8.27606,1.33636
18,SIFT,BRIEF,8.3988,9.2414,-0.842596

frameIndex,detectorType,descriptorType,TTC_Lidar,TTC_Camera,TTC_Diff
1,HARRIS,AKAZE,12.5156,nan,nan
2,HARRIS,AKAZE,12.6142,nan,nan
3,HARRIS,AKAZE,14.091,-11.4731,25.5642
4,HARRIS,AKAZE,16.6894,12.4979,4.19148
5,HARRIS,AKAZE,15.7465,13.6432,2.10334
6,HARRIS,AKAZE,12.7835,12.9945,-0.210998
7,HARRIS,AKAZE,11.9844,13.6036,-1.61927
8,HARRIS,AKAZE,13.1241,12.6385,0.485584
9,HARRIS,AKAZE,13.0241,nan,nan
10,HARRIS,AKAZE,11.1746,10.2931,0.881533
11,HARRIS,AKAZE,12.8086,11.8135,0.995099
12,HARRIS,AKAZE,8.95978,12.245,-3.28521
13,HARRIS,AKAZE,9.96439,284.161,-274.197
14,HARRIS,AKAZE,9.59863,nan,nan
15,HARRIS,AKAZE,8.52157,-inf,inf
16,HARRIS,AKAZE,9.51552,6.45749,3.05804
17,HARRIS,AKAZE,9.61241,12.7384,-3.12602
18,HARRIS,AKAZE,8.3988,-inf,inf

1,SHITOMASI,AKAZE,12.5156,12.6853,-0.169702
2,SHITOMASI,AKAZE,12.6142,11.1896,1.42466
3,SHITOMASI,AKAZE,14.091,12.1,1.99101
4,SHITOMASI,AKAZE,16.6894,11.7164,4.97299
5,SHITOMASI,AKAZE,15.7465,12.5462,3.20034
6,SHITOMASI,AKAZE,12.7835,15.4568,-2.67327
7,SHITOMASI,AKAZE,11.9844,11.5978,0.386573
8,SHITOMASI,AKAZE,11.9844,11.5978,0.386573
9,SHITOMASI,AKAZE,13.0241,11.5126,1.5115
10,SHITOMASI,AKAZE,11.1746,12.7362,-1.56155
11,SHITOMASI,AKAZE,12.8086,11.2358,1.57278
12,SHITOMASI,AKAZE,8.95978,12.0454,-3.0856
13,SHITOMASI,AKAZE,9.96439,11.6848,-1.72044
14,SHITOMASI,AKAZE,9.59863,11.9426,-2.34399
15,SHITOMASI,AKAZE,8.52157,10.009,-1.48739
16,SHITOMASI,AKAZE,9.51552,10.2725,-0.757011
17,SHITOMASI,AKAZE,9.61241,11.5139,-1.90144
18,SHITOMASI,AKAZE,8.3988,10.317,-1.91816

1,FAST,AKAZE,12.5156,11.7818,0.733754
2,FAST,AKAZE,12.6142,10.4498,2.16448
3,FAST,AKAZE,14.091,12.9015,1.18946
4,FAST,AKAZE,14.091,12.9015,1.18946
5,FAST,AKAZE,15.7465,56.5674,-40.8209
6,FAST,AKAZE,15.7465,56.5674,-40.8209
7,FAST,AKAZE,11.9844,11.5161,0.468246
8,FAST,AKAZE,13.1241,12.0967,1.02738
9,FAST,AKAZE,13.0241,13.6469,-0.622744
10,FAST,AKAZE,11.1746,13.4637,-2.2891
11,FAST,AKAZE,12.8086,13.2068,-0.398191
12,FAST,AKAZE,8.95978,11.808,-2.84819
13,FAST,AKAZE,9.96439,11.868,-1.90358
14,FAST,AKAZE,9.59863,11.488,-1.88938
15,FAST,AKAZE,8.52157,11.1204,-2.59888
16,FAST,AKAZE,9.51552,12.2602,-2.74463
17,FAST,AKAZE,9.61241,10.4012,-0.788748
18,FAST,AKAZE,8.3988,12.6746,-4.27583

1,BRISK,AKAZE,12.5156,22.0665,-9.55088
2,BRISK,AKAZE,12.6142,22.9119,-10.2977
3,BRISK,AKAZE,14.091,23.6749,-9.58386
4,BRISK,AKAZE,16.6894,15.1958,1.49359
5,BRISK,AKAZE,15.7465,29.5882,-13.8417
6,BRISK,AKAZE,12.7835,17.0318,-4.24832
7,BRISK,AKAZE,11.9844,17.7722,-5.78789
8,BRISK,AKAZE,11.9844,17.7722,-5.78789
9,BRISK,AKAZE,13.0241,16.0344,-3.01024
10,BRISK,AKAZE,11.1746,10.6605,0.514132
11,BRISK,AKAZE,12.8086,11.4387,1.36986
12,BRISK,AKAZE,8.95978,9.78733,-0.827549
13,BRISK,AKAZE,9.96439,11.4679,-1.50354
14,BRISK,AKAZE,9.59863,12.1882,-2.58954
15,BRISK,AKAZE,8.52157,10.9466,-2.425
16,BRISK,AKAZE,9.51552,10.7676,-1.25208
17,BRISK,AKAZE,9.61241,8.93262,0.679799
18,BRISK,AKAZE,8.3988,10.4166,-2.01776

1,ORB,AKAZE,12.5156,10.2728,2.24285
2,ORB,AKAZE,12.6142,12.843,-0.228722
3,ORB,AKAZE,14.091,11.9489,2.14214
4,ORB,AKAZE,14.091,11.9489,2.14214
5,ORB,AKAZE,15.7465,-inf,inf
6,ORB,AKAZE,15.7465,-inf,inf
7,ORB,AKAZE,11.9844,-inf,inf
8,ORB,AKAZE,13.1241,10.9115,2.21264
9,ORB,AKAZE,13.0241,-inf,inf
10,ORB,AKAZE,11.1746,9.61345,1.56119
11,ORB,AKAZE,12.8086,5.62149,7.18712
12,ORB,AKAZE,8.95978,-inf,inf
13,ORB,AKAZE,9.96439,7.74427,2.22012
14,ORB,AKAZE,9.59863,38.649,-29.0504
15,ORB,AKAZE,8.52157,8.67855,-0.156981
16,ORB,AKAZE,9.51552,7.0528,2.46272
17,ORB,AKAZE,9.61241,8.71789,0.894522
18,ORB,AKAZE,8.3988,25.6678,-17.269

1,AKAZE,AKAZE,12.5156,12.4033,0.11234
2,AKAZE,AKAZE,12.6142,13.9131,-1.29888
3,AKAZE,AKAZE,14.091,13.2424,0.848608
4,AKAZE,AKAZE,16.6894,15.0771,1.61229
5,AKAZE,AKAZE,15.7465,14.9829,0.763632
6,AKAZE,AKAZE,12.7835,15.5222,-2.73867
7,AKAZE,AKAZE,11.9844,15.3448,-3.36044
8,AKAZE,AKAZE,13.1241,14.4557,-1.33155
9,AKAZE,AKAZE,13.0241,16.3573,-3.33321
10,AKAZE,AKAZE,11.1746,11.7726,-0.59795
11,AKAZE,AKAZE,12.8086,12.7506,0.0580422
12,AKAZE,AKAZE,8.95978,10.7717,-1.81197
13,AKAZE,AKAZE,9.96439,11.5239,-1.55947
14,AKAZE,AKAZE,9.59863,11.0076,-1.40899
15,AKAZE,AKAZE,8.52157,10.2243,-1.70273
16,AKAZE,AKAZE,9.51552,11.2034,-1.68787
17,AKAZE,AKAZE,9.61241,9.58876,0.0236554
18,AKAZE,AKAZE,8.3988,8.96071,-0.561909

1,SIFT,AKAZE,12.5156,11.542,0.973558
2,SIFT,AKAZE,12.6142,13.5986,-0.984366
3,SIFT,AKAZE,14.091,12.3504,1.74065
4,SIFT,AKAZE,16.6894,16.1913,0.498087
5,SIFT,AKAZE,15.7465,16.1427,-0.396111
6,SIFT,AKAZE,12.7835,11.2992,1.4843
7,SIFT,AKAZE,11.9844,14.2273,-2.24294
8,SIFT,AKAZE,13.1241,15.3854,-2.26124
9,SIFT,AKAZE,13.0241,12.7337,0.290439
10,SIFT,AKAZE,11.1746,11.3858,-0.211207
11,SIFT,AKAZE,12.8086,12.3477,0.460898
12,SIFT,AKAZE,8.95978,12.0373,-3.07753
13,SIFT,AKAZE,9.96439,9.98467,-0.0202795
14,SIFT,AKAZE,9.59863,10.4011,-0.802423
15,SIFT,AKAZE,8.52157,9.26573,-0.744166
16,SIFT,AKAZE,9.51552,10.5265,-1.01102
17,SIFT,AKAZE,9.61241,8.27606,1.33636
18,SIFT,AKAZE,8.3988,9.2414,-0.842596

frameIndex,detectorType,descriptorType,TTC_Lidar,TTC_Camera,TTC_Diff
1,HARRIS,ORB,12.5156,nan,nan
2,HARRIS,ORB,12.6142,nan,nan
3,HARRIS,ORB,14.091,-11.4731,25.5642
4,HARRIS,ORB,16.6894,12.4979,4.19148
5,HARRIS,ORB,15.7465,13.6432,2.10334
6,HARRIS,ORB,12.7835,12.9945,-0.210998
7,HARRIS,ORB,11.9844,13.6036,-1.61927
8,HARRIS,ORB,13.1241,12.6385,0.485584
9,HARRIS,ORB,13.0241,nan,nan
10,HARRIS,ORB,11.1746,10.2931,0.881533
11,HARRIS,ORB,12.8086,11.8135,0.995099
12,HARRIS,ORB,8.95978,12.245,-3.28521
13,HARRIS,ORB,9.96439,284.161,-274.197
14,HARRIS,ORB,9.59863,nan,nan
15,HARRIS,ORB,8.52157,-inf,inf
16,HARRIS,ORB,9.51552,6.45749,3.05804
17,HARRIS,ORB,9.61241,12.7384,-3.12602
18,HARRIS,ORB,8.3988,-inf,inf

1,SHITOMASI,ORB,12.5156,12.6853,-0.169702
2,SHITOMASI,ORB,12.6142,11.1896,1.42466
3,SHITOMASI,ORB,14.091,12.1,1.99101
4,SHITOMASI,ORB,16.6894,11.7164,4.97299
5,SHITOMASI,ORB,15.7465,12.5462,3.20034
6,SHITOMASI,ORB,12.7835,15.4568,-2.67327
7,SHITOMASI,ORB,11.9844,11.5978,0.386573
8,SHITOMASI,ORB,11.9844,11.5978,0.386573
9,SHITOMASI,ORB,13.0241,11.5126,1.5115
10,SHITOMASI,ORB,11.1746,12.7362,-1.56155
11,SHITOMASI,ORB,12.8086,11.2358,1.57278
12,SHITOMASI,ORB,8.95978,12.0454,-3.0856
13,SHITOMASI,ORB,9.96439,11.6848,-1.72044
14,SHITOMASI,ORB,9.59863,11.9426,-2.34399
15,SHITOMASI,ORB,8.52157,10.009,-1.48739
16,SHITOMASI,ORB,9.51552,10.2725,-0.757011
17,SHITOMASI,ORB,9.61241,11.5139,-1.90144
18,SHITOMASI,ORB,8.3988,10.317,-1.91816

1,FAST,ORB,12.5156,11.7818,0.733754
2,FAST,ORB,12.6142,10.4498,2.16448
3,FAST,ORB,14.091,12.9015,1.18946
4,FAST,ORB,14.091,12.9015,1.18946
5,FAST,ORB,15.7465,56.5674,-40.8209
6,FAST,ORB,15.7465,56.5674,-40.8209
7,FAST,ORB,11.9844,11.5161,0.468246
8,FAST,ORB,13.1241,12.0967,1.02738
9,FAST,ORB,13.0241,13.6469,-0.622744
10,FAST,ORB,11.1746,13.4637,-2.2891
11,FAST,ORB,12.8086,13.2068,-0.398191
12,FAST,ORB,8.95978,11.808,-2.84819
13,FAST,ORB,9.96439,11.868,-1.90358
14,FAST,ORB,9.59863,11.488,-1.88938
15,FAST,ORB,8.52157,11.1204,-2.59888
16,FAST,ORB,9.51552,12.2602,-2.74463
17,FAST,ORB,9.61241,10.4012,-0.788748
18,FAST,ORB,8.3988,12.6746,-4.27583

1,BRISK,ORB,12.5156,22.0665,-9.55088
2,BRISK,ORB,12.6142,22.9119,-10.2977
3,BRISK,ORB,14.091,23.6749,-9.58386
4,BRISK,ORB,16.6894,15.1958,1.49359
5,BRISK,ORB,15.7465,29.5882,-13.8417
6,BRISK,ORB,12.7835,17.0318,-4.24832
7,BRISK,ORB,11.9844,17.7722,-5.78789
8,BRISK,ORB,11.9844,17.7722,-5.78789
9,BRISK,ORB,13.0241,16.0344,-3.01024
10,BRISK,ORB,11.1746,10.6605,0.514132
11,BRISK,ORB,12.8086,11.4387,1.36986
12,BRISK,ORB,8.95978,9.78733,-0.827549
13,BRISK,ORB,9.96439,11.4679,-1.50354
14,BRISK,ORB,9.59863,12.1882,-2.58954
15,BRISK,ORB,8.52157,10.9466,-2.425
16,BRISK,ORB,9.51552,10.7676,-1.25208
17,BRISK,ORB,9.61241,8.93262,0.679799
18,BRISK,ORB,8.3988,10.4166,-2.01776

1,ORB,ORB,12.5156,10.2728,2.24285
2,ORB,ORB,12.6142,12.843,-0.228722
3,ORB,ORB,14.091,11.9489,2.14214
4,ORB,ORB,14.091,11.9489,2.14214
5,ORB,ORB,15.7465,-inf,inf
6,ORB,ORB,15.7465,-inf,inf
7,ORB,ORB,11.9844,-inf,inf
8,ORB,ORB,13.1241,10.9115,2.21264
9,ORB,ORB,13.0241,-inf,inf
10,ORB,ORB,11.1746,9.61345,1.56119
11,ORB,ORB,12.8086,5.62149,7.18712
12,ORB,ORB,8.95978,-inf,inf
13,ORB,ORB,9.96439,7.74427,2.22012
14,ORB,ORB,9.59863,38.649,-29.0504
15,ORB,ORB,8.52157,8.67855,-0.156981
16,ORB,ORB,9.51552,7.0528,2.46272
17,ORB,ORB,9.61241,8.71789,0.894522
18,ORB,ORB,8.3988,25.6678,-17.269

1,AKAZE,ORB,12.5156,12.4033,0.11234
2,AKAZE,ORB,12.6142,13.9131,-1.29888
3,AKAZE,ORB,14.091,13.2424,0.848608
4,AKAZE,ORB,16.6894,15.0771,1.61229
5,AKAZE,ORB,15.7465,14.9829,0.763632
6,AKAZE,ORB,12.7835,15.5222,-2.73867
7,AKAZE,ORB,11.9844,15.3448,-3.36044
8,AKAZE,ORB,13.1241,14.4557,-1.33155
9,AKAZE,ORB,13.0241,16.3573,-3.33321
10,AKAZE,ORB,11.1746,11.7726,-0.59795
11,AKAZE,ORB,12.8086,12.7506,0.0580422
12,AKAZE,ORB,8.95978,10.7717,-1.81197
13,AKAZE,ORB,9.96439,11.5239,-1.55947
14,AKAZE,ORB,9.59863,11.0076,-1.40899
15,AKAZE,ORB,8.52157,10.2243,-1.70273
16,AKAZE,ORB,9.51552,11.2034,-1.68787
17,AKAZE,ORB,9.61241,9.58876,0.0236554
18,AKAZE,ORB,8.3988,8.96071,-0.561909

1,SIFT,ORB,12.5156,11.542,0.973558
2,SIFT,ORB,12.6142,13.5986,-0.984366
3,SIFT,ORB,14.091,12.3504,1.74065
4,SIFT,ORB,16.6894,16.1913,0.498087
5,SIFT,ORB,15.7465,16.1427,-0.396111
6,SIFT,ORB,12.7835,11.2992,1.4843
7,SIFT,ORB,11.9844,14.2273,-2.24294
8,SIFT,ORB,13.1241,15.3854,-2.26124
